13, 243771992, 0.9757215760390202, 6.033793373661438, 124280.78711990142, 0.05579234537337685, SimArray(237336.90758751266, 'Msol'), SimArray(39325018.13428461, 'Msol'), SimArray(498324819.11140245, 'Msol')
18, 243770516, 0.9757215760390202, 6.033793373661438, 52603.234840936653, 0.010272056961081024, SimArray(176465.7518198219, 'Msol'), SimArray(23649875.637588583, 'Msol'), SimArray(430541329.68050957, 'Msol')
46, 243778457, 0.9757215760390202, 6.033793373661438, 47361.946812346512, 0.0038086875511558413, SimArray(149389.55571487642, 'Msol'), SimArray(3665309.193652642, 'Msol'), SimArray(211651579.56768408, 'Msol')
12, 243778457, 1.2972938979635191, 4.812711810738614, 47441.650243701391, 2.5553780071925649, SimArray(146521.01005467426, 'Msol'), SimArray(87632945.89661491, 'Msol'), SimArray(1011971853.8701745, 'Msol')
16, 243770516, 1.2972938979635191, 4.812711810738614, 53031.665829539328, 0.044534084965681023, SimArray(220787.63944755465, 'Msol'), SimArray(49067590.71218911, 'Msol'), SimArray(933575924.3388722, 'Msol')
17, 243771992, 1.2972938979635191, 4.812711810738614, 126287.35807096447, 0.10442543749477805, SimArray(311082.15368700156, 'Msol'), SimArray(83730407.63991654, 'Msol'), SimArray(792384055.9130112, 'Msol')
16, 243778457, 1.6188662198900365, 4.009946649482074, 47530.642390686276, 0.3478956255646668, SimArray(663127.965436943, 'Msol'), SimArray(120091976.79148063, 'Msol'), SimArray(1412317146.0694737, 'Msol')
23, 243770516, 1.6188662198900365, 4.009946649482074, 53225.518679977933, 0.16263513872495022, SimArray(399641.94026829733, 'Msol'), SimArray(59533929.463375, 'Msol'), SimArray(1155281824.4539819, 'Msol')
24, 243771992, 1.6188662198900365, 4.009946649482074, 126385.6870201141, 0.16106456058497834, SimArray(951959.8470112919, 'Msol'), SimArray(102500368.85233346, 'Msol'), SimArray(927439670.1534194, 'Msol')
17, 243778457, 1.9404385418157977, 3.43453975563951, 47636.392695032948, 0.2081248435745468, SimArray(1252713.9502509502, 'Msol'), SimArray(103965573.24448258, 'Msol'), SimArray(1445790480.3856726, 'Msol')
23, 243771992, 1.9404385418157977, 3.43453975563951, 126525.45053337683, 0.15700121401304443, SimArray(1233953.754469668, 'Msol'), SimArray(103710838.55871399, 'Msol'), SimArray(1043218106.304536, 'Msol')
26, 243770516, 1.9404385418157977, 3.43453975563951, 53360.168991711813, 0.14199226969887233, SimArray(542555.9238136251, 'Msol'), SimArray(45989969.78046587, 'Msol'), SimArray(1151165931.2034442, 'Msol')
20, 243778457, 2.262010863740911, 2.9979038045576605, 47696.380647138656, 0.13343033152897407, SimArray(1491570.564584162, 'Msol'), SimArray(80227569.63886619, 'Msol'), SimArray(1390232912.49324, 'Msol')
24, 243770516, 2.262010863740911, 2.9979038045576605, 53510.527571465347, 0.21221478967469792, SimArray(606120.111925479, 'Msol'), SimArray(35603779.537265845, 'Msol'), SimArray(1189806831.4405541, 'Msol')
68, 243771992, 2.262010863740911, 2.9979038045576605, 126849.95449874226, 0.071984891527735642, SimArray(1353814.2327147797, 'Msol'), SimArray(33188579.38635619, 'Msol'), SimArray(257352748.40077493, 'Msol')
18, 243778457, 2.583583185676512, 2.652862300176985, 47745.653316416669, 0.1064378620320957, SimArray(1567807.055899141, 'Msol'), SimArray(70064908.49538824, 'Msol'), SimArray(1461528118.1278508, 'Msol')
23, 243770516, 2.583583185676512, 2.652862300176985, 53657.071286128397, 0.073174186999552998, SimArray(611402.7712480738, 'Msol'), SimArray(26869227.229391884, 'Msol'), SimArray(1314912976.536817, 'Msol')
63, 243771992, 2.583583185676512, 2.652862300176985, 127156.63438855884, 0.02546574637822652, SimArray(1419499.1177796395, 'Msol'), SimArray(31000835.32359463, 'Msol'), SimArray(346456978.9928973, 'Msol')
3, 243771992, 2.905155507616573, 2.371793050516793, 127366.87673292613, 2.3977744788599735, SimArray(19581584.606264602, 'Msol'), SimArray(622996741.5479598, 'Msol'), SimArray(6510854620.994805, 'Msol')
19, 243778457, 2.905155507616573, 2.371793050516793, 47797.891322004514, 0.32198664635778634, SimArray(1615191.3487057644, 'Msol'), SimArray(57102782.741416834, 'Msol'), SimArray(1672442833.5464323, 'Msol')
22, 243770516, 2.905155507616573, 2.371793050516793, 53935.820913675328, 0.071862904715610229, SimArray(600551.8365249767, 'Msol'), SimArray(30306857.38674967, 'Msol'), SimArray(1547517833.4544117, 'Msol')
2, 243771992, 3.2267278295642208, 2.1373592677768563, 127689.63355419549, 0.4683519100695327, SimArray(24808974.61710406, 'Msol'), SimArray(461496794.07184213, 'Msol'), SimArray(6375696793.273271, 'Msol')
14, 243778457, 3.2267278295642208, 2.1373592677768563, 47904.487147920612, 0.22882782278525282, SimArray(1638049.3132743437, 'Msol'), SimArray(62640058.338942334, 'Msol'), SimArray(2190518071.25125, 'Msol')
22, 243770516, 3.2267278295642208, 2.1373592677768563, 54228.034770953396, 0.12035104401826302, SimArray(593177.927710691, 'Msol'), SimArray(28900756.322268754, 'Msol'), SimArray(1643591798.3957686, 'Msol')
3, 243771992, 3.5483001515024455, 1.9380846911258844, 128018.28097597223, 0.9272050603528913, SimArray(25005247.135653764, 'Msol'), SimArray(472221627.6762049, 'Msol'), SimArray(6546157333.724945, 'Msol')
13, 243778457, 3.5483001515024455, 1.9380846911258844, 47975.050130460993, 0.25317510335386706, SimArray(1716729.587048838, 'Msol'), SimArray(50910264.32283185, 'Msol'), SimArray(2598896881.0548234, 'Msol')
