#data = [currenthalo, BH['iord'][i], gettime(s),getz(s), BH['mass'][i], BH['r'][i], starmass, gasmass, virialmass]
11, 89422741, 6.084031898330907, 0.9993614554652239, 52087.903469610894, 0.011801963207896246, 563533.0019364655, 2521929.5599044315, 1809793623.2375557
4, 89425759, 6.442451048812736, 0.9155935527469601, 162272.2271138466, 2.2516021703654188, 10866722.977213008, 166445085.13442644, 6360837012.74455
9, 89422247, 6.442451048812736, 0.9155935527469601, 341517.59045752959, 0.023259276705176742, 3474303.108914203, 17555533.99405632, 2985051654.868788
11, 89422741, 6.442451048812736, 0.9155935527469601, 52087.903469610894, 0.0025137885482521254, 563074.6438891069, 2768751.736363152, 1873071118.7799594
4, 89425759, 6.87121414472478, 0.8242930325776419, 162275.72140203873, 3.2328973597011892, 10880859.856074963, 170213014.38528597, 6597307397.129152
9, 89422247, 6.87121414472478, 0.8242930325776419, 341517.59045752959, 0.010508105015350998, 3461898.6341070547, 15953213.671887616, 3044236694.456954
11, 89422741, 6.87121414472478, 0.8242930325776419, 52087.903469610894, 0.011228934094811989, 562668.6639275443, 3136066.1225952385, 1930054810.410782
4, 89425759, 7.299977240632852, 0.7412475289787332, 162279.44009405971, 2.9819379504749173, 10865092.91858526, 171669541.81907588, 6806158747.370079
9, 89422247, 7.299977240632852, 0.7412475289787332, 341517.59045752959, 0.0046752162700870823, 3452316.117138007, 17162016.60204915, 3121289082.7949934
11, 89422741, 7.299977240632852, 0.7412475289787332, 52087.903469610894, 0.016994007931904215, 562385.3570051077, 3453916.364728289, 1969770997.6722543
4, 89425759, 7.728740336534077, 0.6652282905876434, 162292.00670847544, 1.7032607129993387, 10887413.782873612, 177114810.5518166, 6979818147.932184
10, 89422247, 7.728740336534077, 0.6652282905876434, 341517.59045752959, 0.017525818550050042, 3445317.613717545, 15092744.065275457, 3183303010.3649917
11, 89422741, 7.728740336534077, 0.6652282905876434, 52087.903469610894, 0.0091584032395556694, 562264.1736311031, 3839761.92053204, 2028671832.7067652
4, 89425759, 8.157503432432808, 0.5952474504466703, 162298.03355416461, 2.5531835018397335, 10987885.861516895, 179832635.88875374, 7122320040.759774
10, 89422247, 8.157503432432808, 0.5952474504466703, 341517.59045752959, 0.0049851531560071603, 3440903.3531802446, 14533502.515374644, 3236891642.5093307
11, 89422741, 8.157503432432808, 0.5952474504466703, 52087.903469610894, 0.010193934926368916, 562234.0560732821, 3779133.1821034, 2104890632.8493161
4, 89425759, 8.586266528334022, 0.5305012792429633, 162315.10427400231, 1.5878823402223714, 11064793.641811883, 182739923.81692466, 7262463389.428236
10, 89422247, 8.586266528334022, 0.5305012792429633, 341517.59045752959, 0.011778729877094125, 3439546.393104324, 14098567.141532728, 3259914680.824456
12, 89422741, 8.586266528334022, 0.5305012792429633, 52087.903469610894, 0.021672445234449191, 562221.540222093, 3747900.0577499736, 2174964286.4371595
5, 89425759, 8.800648076283196, 0.49987997557002717, 162321.19523507115, 1.4115587034525761, 11141434.616551563, 185508766.58870557, 7342247751.17791
10, 89422247, 8.800648076283196, 0.49987997557002717, 341517.59045752959, 0.010536338955018185, 3439405.043956361, 13904060.855695888, 3270237433.2731857
11, 89422741, 8.800648076283196, 0.49987997557002717, 52087.903469610894, 0.0090079299057813939, 562216.885580146, 4178047.8182294923, 2212841436.0475183
5, 89425759, 9.015029624232525, 0.47032886580152833, 162331.87044578657, 2.2022748571292268, 11149408.645194355, 182381211.42655832, 7410878286.384977
10, 89422247, 9.015029624232525, 0.47032886580152833, 341517.59045752959, 0.0063422004435878601, 3439325.7138843904, 14243953.270985637, 3278330415.261153
11, 89422741, 9.015029624232525, 0.47032886580152833, 52087.907476822125, 0.022007825532152355, 562212.8230975773, 4586584.767690705, 2250856834.591652
5, 89425759, 9.443792720132475, 0.4141815165472027, 162363.73578948359, 2.111200553068084, 11272709.757796884, 176008131.74956214, 7515297667.029516
10, 89422247, 9.443792720132475, 0.4141815165472027, 341517.59045752959, 0.0063881689764221676, 3439243.3308183635, 13946886.136053134, 3286958735.0985546
11, 89422741, 9.443792720132475, 0.4141815165472027, 52087.907476822125, 0.019208493288790283, 562206.203920325, 4865681.948306313, 2321167555.6028476
5, 89425759, 9.87255581604662, 0.36159974591648303, 162375.388759739, 1.782555583700268, 11345394.872638894, 179982304.77651927, 7615213391.165548
10, 89422247, 9.87255581604662, 0.36159974591648303, 341517.59045752959, 0.0078217144975598531, 3439183.059590861, 16973617.965562776, 3333327219.4147377
11, 89422741, 9.87255581604662, 0.36159974591648303, 52087.907476822125, 0.0034466081434328922, 562200.9250613102, 4749715.776173323, 2387040110.1995773
5, 89425759, 10.301318911979887, 0.31219573551789903, 162400.18538282719, 2.5384873638541241, 11513299.015427932, 176212069.07154998, 7697508710.952052
10, 89422247, 10.301318911979887, 0.31219573551789903, 341517.59045752959, 0.018432694605369986, 3439136.5019637225, 21677242.354500897, 3389612017.1626287
11, 89422741, 10.301318911979887, 0.31219573551789903, 52087.907476822125, 0.013613155537307202, 562196.1182392555, 3918332.7597784447, 2442226033.778535
5, 89425759, 10.730082007913145, 0.26563979476639665, 162416.26231427997, 1.5420531830788742, 11591335.295153867, 163155430.27667794, 7742152672.163446
10, 89422247, 10.730082007913145, 0.26563979476639665, 341517.59045752959, 0.024951729771609411, 3439096.6469765333, 24107299.84337788, 3441431852.162407
11, 89422741, 10.730082007913145, 0.26563979476639665, 52087.907476822125, 0.0061267271363943821, 562191.7235494838, 3120943.7896902915, 2489905928.4500256
5, 89425759, 10.880819033827178, 0.24989531685596078, 162433.47729372192, 2.2091589848951041, 11611544.865926921, 161365847.25671625, 7765387934.505431
10, 89422247, 10.880819033827178, 0.24989531685596078, 341517.59045752959, 0.014612147860018599, 3439083.5534608, 24696829.707073398, 3463795517.680947
11, 89422741, 10.880819033827178, 0.24989531685596078, 52087.907476822125, 0.024726126128626843, 562190.2612147954, 2880038.928188283, 2509993777.7028165
5, 89425759, 11.15884510384639, 0.2216497909998738, 162458.97918598651, 1.9532723702298327, 11671101.137884462, 165342026.70466703, 7816135846.784607
10, 89422247, 11.15884510384639, 0.2216497909998738, 341517.59045752959, 0.013215398585515648, 3439060.7001942797, 25624357.592978753, 3514385932.798557
11, 89422741, 11.15884510384639, 0.2216497909998738, 52087.907476822125, 0.019386527935728447, 562187.6842805645, 3087891.6259231386, 2601720992.706598
5, 89425759, 11.587608199779657, 0.17998281184861242, 162494.88379860288, 1.6873948376179, 11757230.020729192, 165119819.37148476, 7893504814.169668
10, 89422247, 11.587608199779657, 0.17998281184861242, 341517.59045752959, 0.016720721412949432, 3439028.18032898, 27734354.517733768, 3577595397.499778
11, 89422741, 11.587608199779657, 0.17998281184861242, 52087.911484033357, 0.025733525822868752, 562183.963600591, 1425989.6022848776, 2807163279.99769
5, 89425759, 12.016371295712915, 0.14042852559990648, 162570.62009084056, 1.2870572763855432, 11835670.051468056, 164482713.821245, 7978630654.462007
10, 89422741, 12.016371295712915, 0.14042852559990648, 52087.911484033357, 0.014953776837943536, 562180.519089476, 5123733.030765049, 3563477910.5826645
11, 89422247, 12.016371295712915, 0.14042852559990648, 341517.59045752959, 0.026543656953225341, 3438998.35930479, 28649890.957650278, 3613226983.4323597
5, 89425759, 12.1905563034358, 0.12492030803500431, 162584.64533014383, 1.1160752383798374, 11887073.372723145, 164716152.54627573, 8015156898.570031
10, 89422247, 12.1905563034358, 0.12492030803500431, 341517.59045752959, 0.026278660058206407, 3438986.937923168, 28778871.90838624, 3633877871.681107
11, 89422741, 12.1905563034358, 0.12492030803500431, 52087.911484033357, 0.021402233858400604, 562179.1902763178, 3671728.41788928, 3424233975.8684697
5, 89425759, 12.445134391646183, 0.10280384730919478, 162616.7190488248, 1.0383845039170541, 11940315.101355202, 165487089.7250085, 8074822567.242772
10, 89422247, 12.445134391646183, 0.10280384730919478, 341517.59045752959, 0.018949353951475057, 3438970.909281741, 28953443.962815594, 3664405684.3132815
11, 89422741, 12.445134391646183, 0.10280384730919478, 52087.911484033357, 0.011550779851744778, 562177.321820163, 3846147.1006917125, 3236966875.4213915
5, 89425759, 12.873897487579418, 0.06694861916381578, 162673.65350597363, 1.2346865614836677, 12028552.556584015, 165282561.24040493, 8159851257.385096
10, 89422247, 12.873897487579418, 0.06694861916381578, 341517.59045752959, 0.022546537792554507, 3438945.5551866964, 28688686.02663782, 3694174439.3241262
11, 89422741, 12.873897487579418, 0.06694861916381578, 52087.911484033357, 0.016469477288577554, 562174.3473110963, 2813567.7571208877, 3056745504.5966187
5, 89425759, 13.302660583512695, 0.032722086048404986, 162785.61498772603, 0.94458718475402659, 12136702.625427099, 163514788.30256245, 8238627431.483119
10, 89422247, 13.302660583512695, 0.032722086048404986, 341517.59045752959, 0.0051208573336950624, 3438922.064664019, 27520712.283174515, 3713987955.873357
11, 89422741, 13.302660583512695, 0.032722086048404986, 52087.911484033357, 0.01705312297358455, 562171.5761053867, 2150972.5509804217, 2973469028.6976113
5, 89425759, 13.731423679445971, -1.4263479286569236e-11, 162948.33982133382, 0.95902750231094336, 12220948.913345324, 161456654.90324464, 8289786730.228455
10, 89422247, 13.731423679445971, -1.4263479286569236e-11, 341517.59045752959, 0.0078358173744819265, 3438900.2364296084, 26972924.40594302, 3734941202.197168
11, 89422741, 13.731423679445971, -1.4263479286569236e-11, 52087.915491244588, 0.0070689975830763576, 562168.9829701261, 1579818.3043675516, 2913869879.7477484
